Legislation Number,URL,Congress,Sponsor,Number of Cosponsors,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor
S. 1235,https://www.congress.gov/bill/116th-congress/senate-bill/1235,116th Congress (2019-2020),"Blackburn, Marsha [Sen.-R-TN]",85,"Menendez, Robert [Sen.-D-NJ]","Booker, Cory A. [Sen.-D-NJ]","Feinstein, Dianne [Sen.-D-CA]","Murray, Patty [Sen.-D-WA]","Collins, Susan M. [Sen.-R-ME]","Cantwell, Maria [Sen.-D-WA]","Stabenow, Debbie [Sen.-D-MI]","Murkowski, Lisa [Sen.-R-AK]","Klobuchar, Amy [Sen.-D-MN]","Shaheen, Jeanne [Sen.-D-NH]","Gillibrand, Kirsten E. [Sen.-D-NY]","Baldwin, Tammy [Sen.-D-WI]","Fischer, Deb [Sen.-R-NE]","Hirono, Mazie K. [Sen.-D-HI]","Warren, Elizabeth [Sen.-D-MA]","Capito, Shelley Moore [Sen.-R-WV]","Ernst, Joni [Sen.-R-IA]","Cortez Masto, Catherine [Sen.-D-NV]","Duckworth, Tammy [Sen.-D-IL]","Harris, Kamala D. [Sen.-D-CA]","Hassan, Margaret Wood [Sen.-D-NH]","Smith, Tina [Sen.-D-MN]","Hyde-Smith, Cindy [Sen.-R-MS]","McSally, Martha [Sen.-R-AZ]","Rosen, Jacky [Sen.-D-NV]","Sinema, Kyrsten [Sen.-D-AZ]","McConnell, Mitch [Sen.-R-KY]","Schumer, Charles E. [Sen.-D-NY]","Blumenthal, Richard [Sen.-D-CT]","King, Angus S., Jr. [Sen.-I-ME]","Jones, Doug [Sen.-D-AL]","Roberts, Pat [Sen.-R-KS]","Cornyn, John [Sen.-R-TX]","Alexander, Lamar [Sen.-R-TN]","Isakson, Johnny [Sen.-R-GA]","Risch, James E. [Sen.-R-ID]","Blunt, Roy [Sen.-R-MO]","Hoeven, John [Sen.-R-ND]","Johnson, Ron [Sen.-R-WI]","Moran, Jerry [Sen.-R-KS]","Portman, Rob [Sen.-R-OH]","Cassidy, Bill [Sen.-R-LA]","Perdue, David [Sen.-R-GA]","Sullivan, Dan [Sen.-R-AK]","Tillis, Thomas [Sen.-R-NC]","Braun, Mike [Sen.-R-IN]","Inhofe, James M. [Sen.-R-OK]","Carper, Thomas R. [Sen.-D-DE]","Wicker, Roger F. [Sen.-R-MS]","Coons, Christopher A. [Sen.-D-DE]","Boozman, John [Sen.-R-AR]","Scott, Tim [Sen.-R-SC]","Lankford, James [Sen.-R-OK]","Shelby, Richard C. [Sen.-R-AL]","Wyden, Ron [Sen.-D-OR]","Reed, Jack [Sen.-D-RI]","Crapo, Mike [Sen.-R-ID]","Graham, Lindsey [Sen.-R-SC]","Burr, Richard [Sen.-R-NC]","Thune, John [Sen.-R-SD]","Sanders, Bernard [Sen.-I-VT]","Tester, Jon [Sen.-D-MT]","Rubio, Marco [Sen.-R-FL]","Kaine, Tim [Sen.-D-VA]","Cotton, Tom [Sen.-R-AR]","Daines, Steve [Sen.-R-MT]","Gardner, Cory [Sen.-R-CO]","Rounds, Mike [Sen.-R-SD]","Kennedy, John [Sen.-R-LA]","Hawley, Josh [Sen.-R-MO]","Grassley, Chuck [Sen.-R-IA]","Barrasso, John [Sen.-R-WY]","Bennet, Michael F. [Sen.-D-CO]","Manchin, Joe, III [Sen.-D-WV]","Peters, Gary C. [Sen.-D-MI]","Young, Todd [Sen.-R-IN]","Cramer, Kevin [Sen.-R-ND]","Scott, Rick [Sen.-R-FL]","Durbin, Richard J. [Sen.-D-IL]","Enzi, Michael B. [Sen.-R-WY]","Brown, Sherrod [Sen.-D-OH]","Markey, Edward J. [Sen.-D-MA]","Romney, Mitt [Sen.-R-UT]","Leahy, Patrick J. [Sen.-D-VT]","Toomey, Patrick [Sen.-R-PA]",,,,,,,,,,,,,,
S. 1231,https://www.congress.gov/bill/116th-congress/senate-bill/1231,116th Congress (2019-2020),"Leahy, Patrick J. [Sen.-D-VT]",19,"Tester, Jon [Sen.-D-MT]","Grassley, Chuck [Sen.-R-IA]","Feinstein, Dianne [Sen.-D-CA]","Collins, Susan M. [Sen.-R-ME]","Durbin, Richard J. [Sen.-D-IL]","Cornyn, John [Sen.-R-TX]","Graham, Lindsey [Sen.-R-SC]","Klobuchar, Amy [Sen.-D-MN]","Whitehouse, Sheldon [Sen.-D-RI]","Coons, Christopher A. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]","Toomey, Patrick [Sen.-R-PA]","Hirono, Mazie K. [Sen.-D-HI]","Gardner, Cory [Sen.-R-CO]","Tillis, Thomas [Sen.-R-NC]","Booker, Cory A. [Sen.-D-NJ]","Cramer, Kevin [Sen.-R-ND]","Harris, Kamala D. [Sen.-D-CA]","Hawley, Josh [Sen.-R-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1228,https://www.congress.gov/bill/116th-congress/senate-bill/1228,116th Congress (2019-2020),"Daines, Steve [Sen.-R-MT]",1,"Peters, Gary C. [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1208,https://www.congress.gov/bill/116th-congress/senate-bill/1208,116th Congress (2019-2020),"Grassley, Chuck [Sen.-R-IA]",15,"Crapo, Mike [Sen.-R-ID]","Gillibrand, Kirsten E. [Sen.-D-NY]","Blumenthal, Richard [Sen.-D-CT]","Tester, Jon [Sen.-D-MT]","Klobuchar, Amy [Sen.-D-MN]","Cramer, Kevin [Sen.-R-ND]","Leahy, Patrick J. [Sen.-D-VT]","Durbin, Richard J. [Sen.-D-IL]","Whitehouse, Sheldon [Sen.-D-RI]","Coons, Christopher A. [Sen.-D-DE]","Cruz, Ted [Sen.-R-TX]","Hirono, Mazie K. [Sen.-D-HI]","Daines, Steve [Sen.-R-MT]","Tillis, Thomas [Sen.-R-NC]","Blackburn, Marsha [Sen.-R-TN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1199,https://www.congress.gov/bill/116th-congress/senate-bill/1199,116th Congress (2019-2020),"Murray, Patty [Sen.-D-WA]",1,"Burr, Richard [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1196,https://www.congress.gov/bill/116th-congress/senate-bill/1196,116th Congress (2019-2020),"Baldwin, Tammy [Sen.-D-WI]",1,"Johnson, Ron [Sen.-R-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1160,https://www.congress.gov/bill/116th-congress/senate-bill/1160,116th Congress (2019-2020),"Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1153,https://www.congress.gov/bill/116th-congress/senate-bill/1153,116th Congress (2019-2020),"Baldwin, Tammy [Sen.-D-WI]",8,"Klobuchar, Amy [Sen.-D-MN]","Shaheen, Jeanne [Sen.-D-NH]","Fischer, Deb [Sen.-R-NE]","Alexander, Lamar [Sen.-R-TN]","Burr, Richard [Sen.-R-NC]","Hassan, Margaret Wood [Sen.-D-NH]","Coons, Christopher A. [Sen.-D-DE]","Braun, Mike [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1130,https://www.congress.gov/bill/116th-congress/senate-bill/1130,116th Congress (2019-2020),"Casey, Robert P., Jr. [Sen.-D-PA]",10,"Sullivan, Dan [Sen.-R-AK]","Isakson, Johnny [Sen.-R-GA]","Brown, Sherrod [Sen.-D-OH]","Rosen, Jacky [Sen.-D-NV]","Van Hollen, Chris [Sen.-D-MD]","Stabenow, Debbie [Sen.-D-MI]","Murphy, Christopher [Sen.-D-CT]","Smith, Tina [Sen.-D-MN]","Murray, Patty [Sen.-D-WA]","Jones, Doug [Sen.-D-AL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1069,https://www.congress.gov/bill/116th-congress/senate-bill/1069,116th Congress (2019-2020),"Baldwin, Tammy [Sen.-D-WI]",4,"Klobuchar, Amy [Sen.-D-MN]","Cantwell, Maria [Sen.-D-WA]","Murkowski, Lisa [Sen.-R-AK]","Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1057,https://www.congress.gov/bill/116th-congress/senate-bill/1057,116th Congress (2019-2020),"McSally, Martha [Sen.-R-AZ]",13,"Feinstein, Dianne [Sen.-D-CA]","Enzi, Michael B. [Sen.-R-WY]","Barrasso, John [Sen.-R-WY]","Udall, Tom [Sen.-D-NM]","Bennet, Michael F. [Sen.-D-CO]","Lee, Mike [Sen.-R-UT]","Heinrich, Martin [Sen.-D-NM]","Gardner, Cory [Sen.-R-CO]","Cortez Masto, Catherine [Sen.-D-NV]","Harris, Kamala D. [Sen.-D-CA]","Romney, Mitt [Sen.-R-UT]","Rosen, Jacky [Sen.-D-NV]","Sinema, Kyrsten [Sen.-D-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1031,https://www.congress.gov/bill/116th-congress/senate-bill/1031,116th Congress (2019-2020),"Hawley, Josh [Sen.-R-MO]",3,"Duckworth, Tammy [Sen.-D-IL]","Cotton, Tom [Sen.-R-AR]","Blunt, Roy [Sen.-R-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1029,https://www.congress.gov/bill/116th-congress/senate-bill/1029,116th Congress (2019-2020),"Cornyn, John [Sen.-R-TX]",4,"Warren, Elizabeth [Sen.-D-MA]","Ernst, Joni [Sen.-R-IA]","Blackburn, Marsha [Sen.-R-TN]","Feinstein, Dianne [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1014,https://www.congress.gov/bill/116th-congress/senate-bill/1014,116th Congress (2019-2020),"Duckworth, Tammy [Sen.-D-IL]",2,"Durbin, Richard J. [Sen.-D-IL]","Inhofe, James M. [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 998,https://www.congress.gov/bill/116th-congress/senate-bill/998,116th Congress (2019-2020),"Hawley, Josh [Sen.-R-MO]",21,"Hassan, Margaret Wood [Sen.-D-NH]","Cortez Masto, Catherine [Sen.-D-NV]","Gardner, Cory [Sen.-R-CO]","McSally, Martha [Sen.-R-AZ]","Cramer, Kevin [Sen.-R-ND]","Collins, Susan M. [Sen.-R-ME]","Leahy, Patrick J. [Sen.-D-VT]","Durbin, Richard J. [Sen.-D-IL]","Cornyn, John [Sen.-R-TX]","Klobuchar, Amy [Sen.-D-MN]","Whitehouse, Sheldon [Sen.-D-RI]","Blumenthal, Richard [Sen.-D-CT]","Hirono, Mazie K. [Sen.-D-HI]","Cotton, Tom [Sen.-R-AR]","Tillis, Thomas [Sen.-R-NC]","Blackburn, Marsha [Sen.-R-TN]","Scott, Rick [Sen.-R-FL]","Feinstein, Dianne [Sen.-D-CA]","Capito, Shelley Moore [Sen.-R-WV]","Coons, Christopher A. [Sen.-D-DE]","Grassley, Chuck [Sen.-R-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 995,https://www.congress.gov/bill/116th-congress/senate-bill/995,116th Congress (2019-2020),"Collins, Susan M. [Sen.-R-ME]",4,"Reed, Jack [Sen.-D-RI]","Sinema, Kyrsten [Sen.-D-AZ]","Baldwin, Tammy [Sen.-D-WI]","Murray, Patty [Sen.-D-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 982,https://www.congress.gov/bill/116th-congress/senate-bill/982,116th Congress (2019-2020),"Cortez Masto, Catherine [Sen.-D-NV]",8,"Udall, Tom [Sen.-D-NM]","Murkowski, Lisa [Sen.-R-AK]","Tester, Jon [Sen.-D-MT]","Moran, Jerry [Sen.-R-KS]","Smith, Tina [Sen.-D-MN]","Sullivan, Dan [Sen.-R-AK]","Daines, Steve [Sen.-R-MT]","Rosen, Jacky [Sen.-D-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 979,https://www.congress.gov/bill/116th-congress/senate-bill/979,116th Congress (2019-2020),"Rubio, Marco [Sen.-R-FL]",5,"Hassan, Margaret Wood [Sen.-D-NH]","Johnson, Ron [Sen.-R-WI]","Peters, Gary C. [Sen.-D-MI]","Lankford, James [Sen.-R-OK]","Tillis, Thomas [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 945,https://www.congress.gov/bill/116th-congress/senate-bill/945,116th Congress (2019-2020),"Kennedy, John [Sen.-R-LA]",4,"Van Hollen, Chris [Sen.-D-MD]","Cramer, Kevin [Sen.-R-ND]","Scott, Rick [Sen.-R-FL]","Cotton, Tom [Sen.-R-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 939,https://www.congress.gov/bill/116th-congress/senate-bill/939,116th Congress (2019-2020),"Kennedy, John [Sen.-R-LA]",3,"Blackburn, Marsha [Sen.-R-TN]","Grassley, Chuck [Sen.-R-IA]","Jones, Doug [Sen.-D-AL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 929,https://www.congress.gov/bill/116th-congress/senate-bill/929,116th Congress (2019-2020),"Tillis, Thomas [Sen.-R-NC]",1,"Burr, Richard [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 924,https://www.congress.gov/bill/116th-congress/senate-bill/924,116th Congress (2019-2020),"Cornyn, John [Sen.-R-TX]",1,"Hassan, Margaret Wood [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 914,https://www.congress.gov/bill/116th-congress/senate-bill/914,116th Congress (2019-2020),"Wicker, Roger F. [Sen.-R-MS]",3,"Klobuchar, Amy [Sen.-D-MN]","Cantwell, Maria [Sen.-D-WA]","Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 910,https://www.congress.gov/bill/116th-congress/senate-bill/910,116th Congress (2019-2020),"Wicker, Roger F. [Sen.-R-MS]",5,"Klobuchar, Amy [Sen.-D-MN]","Schatz, Brian [Sen.-D-HI]","Cantwell, Maria [Sen.-D-WA]","Sullivan, Dan [Sen.-R-AK]","Murkowski, Lisa [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 906,https://www.congress.gov/bill/116th-congress/senate-bill/906,116th Congress (2019-2020),"Feinstein, Dianne [Sen.-D-CA]",4,"Coons, Christopher A. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]","Harris, Kamala D. [Sen.-D-CA]","Capito, Shelley Moore [Sen.-R-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 900,https://www.congress.gov/bill/116th-congress/senate-bill/900,116th Congress (2019-2020),"Daines, Steve [Sen.-R-MT]",1,"Tester, Jon [Sen.-D-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 893,https://www.congress.gov/bill/116th-congress/senate-bill/893,116th Congress (2019-2020),"Cornyn, John [Sen.-R-TX]",10,"Sullivan, Dan [Sen.-R-AK]","Feinstein, Dianne [Sen.-D-CA]","Collins, Susan M. [Sen.-R-ME]","Burr, Richard [Sen.-R-NC]","Warner, Mark R. [Sen.-D-VA]","Bennet, Michael F. [Sen.-D-CO]","Rubio, Marco [Sen.-R-FL]","Cotton, Tom [Sen.-R-AR]","Blackburn, Marsha [Sen.-R-TN]","Murphy, Christopher [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 886,https://www.congress.gov/bill/116th-congress/senate-bill/886,116th Congress (2019-2020),"Udall, Tom [Sen.-D-NM]",2,"Heinrich, Martin [Sen.-D-NM]","Cortez Masto, Catherine [Sen.-D-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 881,https://www.congress.gov/bill/116th-congress/senate-bill/881,116th Congress (2019-2020),"Peters, Gary C. [Sen.-D-MI]",1,"Gardner, Cory [Sen.-R-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 863,https://www.congress.gov/bill/116th-congress/senate-bill/863,116th Congress (2019-2020),"Cassidy, Bill [Sen.-R-LA]",1,"Tester, Jon [Sen.-D-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 862,https://www.congress.gov/bill/116th-congress/senate-bill/862,116th Congress (2019-2020),"Kennedy, John [Sen.-R-LA]",3,"Hawley, Josh [Sen.-R-MO]","Rubio, Marco [Sen.-R-FL]","Booker, Cory A. [Sen.-D-NJ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 850,https://www.congress.gov/bill/116th-congress/senate-bill/850,116th Congress (2019-2020),"Sullivan, Dan [Sen.-R-AK]",2,"Sinema, Kyrsten [Sen.-D-AZ]","Murkowski, Lisa [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 832,https://www.congress.gov/bill/116th-congress/senate-bill/832,116th Congress (2019-2020),"Merkley, Jeff [Sen.-D-OR]",1,"Wyden, Ron [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 820,https://www.congress.gov/bill/116th-congress/senate-bill/820,116th Congress (2019-2020),"Cornyn, John [Sen.-R-TX]",21,"Fischer, Deb [Sen.-R-NE]","Leahy, Patrick J. [Sen.-D-VT]","Feinstein, Dianne [Sen.-D-CA]","Crapo, Mike [Sen.-R-ID]","Burr, Richard [Sen.-R-NC]","Klobuchar, Amy [Sen.-D-MN]","Blumenthal, Richard [Sen.-D-CT]","Scott, Tim [Sen.-R-SC]","Ernst, Joni [Sen.-R-IA]","Tillis, Thomas [Sen.-R-NC]","Blackburn, Marsha [Sen.-R-TN]","Hawley, Josh [Sen.-R-MO]","McSally, Martha [Sen.-R-AZ]","Braun, Mike [Sen.-R-IN]","Kennedy, John [Sen.-R-LA]","Durbin, Richard J. [Sen.-D-IL]","Grassley, Chuck [Sen.-R-IA]","Cantwell, Maria [Sen.-D-WA]","Collins, Susan M. [Sen.-R-ME]","Shaheen, Jeanne [Sen.-D-NH]","Cortez Masto, Catherine [Sen.-D-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 785,https://www.congress.gov/bill/116th-congress/senate-bill/785,116th Congress (2019-2020),"Tester, Jon [Sen.-D-MT]",53,"Gardner, Cory [Sen.-R-CO]","Feinstein, Dianne [Sen.-D-CA]","Murray, Patty [Sen.-D-WA]","Durbin, Richard J. [Sen.-D-IL]","Stabenow, Debbie [Sen.-D-MI]","Menendez, Robert [Sen.-D-NJ]","Casey, Robert P., Jr. [Sen.-D-PA]","Klobuchar, Amy [Sen.-D-MN]","Sanders, Bernard [Sen.-I-VT]","Udall, Tom [Sen.-D-NM]","Warner, Mark R. [Sen.-D-VA]","Manchin, Joe, III [Sen.-D-WV]","Blumenthal, Richard [Sen.-D-CT]","Moran, Jerry [Sen.-R-KS]","Baldwin, Tammy [Sen.-D-WI]","Hirono, Mazie K. [Sen.-D-HI]","Kaine, Tim [Sen.-D-VA]","Murphy, Christopher [Sen.-D-CT]","Markey, Edward J. [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Duckworth, Tammy [Sen.-D-IL]","Harris, Kamala D. [Sen.-D-CA]","Smith, Tina [Sen.-D-MN]","Sinema, Kyrsten [Sen.-D-AZ]","Peters, Gary C. [Sen.-D-MI]","Gillibrand, Kirsten E. [Sen.-D-NY]","Merkley, Jeff [Sen.-D-OR]","Bennet, Michael F. [Sen.-D-CO]","Sullivan, Dan [Sen.-R-AK]","Hassan, Margaret Wood [Sen.-D-NH]","Coons, Christopher A. [Sen.-D-DE]","Roberts, Pat [Sen.-R-KS]","Shaheen, Jeanne [Sen.-D-NH]","Crapo, Mike [Sen.-R-ID]","Daines, Steve [Sen.-R-MT]","Boozman, John [Sen.-R-AR]","Cortez Masto, Catherine [Sen.-D-NV]","Cramer, Kevin [Sen.-R-ND]","McSally, Martha [Sen.-R-AZ]","Cornyn, John [Sen.-R-TX]","Rosen, Jacky [Sen.-D-NV]","Jones, Doug [Sen.-D-AL]","Collins, Susan M. [Sen.-R-ME]","Rounds, Mike [Sen.-R-SD]","Blackburn, Marsha [Sen.-R-TN]","Hoeven, John [Sen.-R-ND]","Risch, James E. [Sen.-R-ID]","Wyden, Ron [Sen.-D-OR]","Murkowski, Lisa [Sen.-R-AK]","Wicker, Roger F. [Sen.-R-MS]","Portman, Rob [Sen.-R-OH]","Heinrich, Martin [Sen.-D-NM]","Reed, Jack [Sen.-D-RI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 760,https://www.congress.gov/bill/116th-congress/senate-bill/760,116th Congress (2019-2020),"Peters, Gary C. [Sen.-D-MI]",3,"Tillis, Thomas [Sen.-R-NC]","Capito, Shelley Moore [Sen.-R-WV]","Tester, Jon [Sen.-D-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 744,https://www.congress.gov/bill/116th-congress/senate-bill/744,116th Congress (2019-2020),"Grassley, Chuck [Sen.-R-IA]",3,"Feinstein, Dianne [Sen.-D-CA]","Cornyn, John [Sen.-R-TX]","Klobuchar, Amy [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
